"Connector settings","Verbindungseinstellungen"
"SalesManago_Tracking::Enabled","Freigeschaltet"
"Yes","Ja"
"No","Nein"
"Client ID","Kundennummer"
"API secret code","API Geheimnis"
"Main owner E-mail","Main owner E-mail"
"End point address","Endpunkt adresse"
"Newsletter subscription tags","Newsletter abonnement tag"
"Sign up tag","Anmelde tag"
"Purchase tag","Kauf tag"
"Custom JS code","Angepaster JS code"
"Connection Timeout","Verbindungsfehler"
"If you want to use more tags, separate them with a comma","Wenn Sie mehr Label (tag) nutzen möchten, trennen Sie diese durch Kommas"
"Limit the maximum execution time in ms (optional)","Limieteren Sie die maximale Ausfürungszeit ms (fakultativ)"
